Opportunity No.,Reporting Status,Product,Industry,Region,Segment,Relative Strength in the segment,Sales Value - $Mn,Profit %,Joint Bid - WSES Portion
Training65,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,7.9,40,75
Training66,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,4.2,55,75
Training67,Lost,GTMSys,Banks,UK,"GTMSys,Banks,UK",61,10.3,63,45
Training68,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,10.8,51,68
Training69,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,8.1,44,48
Training70,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,7.6,68,67
Training71,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,6.1,52,65
Training72,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,5.9,44,60
Training73,Lost,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33,7.5,42,66
Training74,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,8.9,45,100
Training75,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,7.5,40,58
Training76,Lost,GTMSys,Security,Singapore,"GTMSys,Security,Singapore",73,9.6,45,52
Training77,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,6.6,58,52
Training78,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,6.5,46,48
Training79,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,8.2,64,59
Training80,Lost,Procsys,Security,India,"Procsys,Security,India",44,6.8,45,66
Training81,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,9.2,55,61
Training82,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,4.3,44,57
Training83,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,6.8,42,70
Training84,Lost,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33,8.9,86,64
Training85,Won,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,6.5,42,48
Training86,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,8.3,45,40
Training87,Lost,Procsys,Security,India,"Procsys,Security,India",44,4.7,48,56
Training88,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,7.9,43,60
Training89,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,9.2,44,57
Training90,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,7.6,52,58
Training91,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,7.8,48,47
Training92,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39,7.6,49,100
Training93,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,6,60,68
Training94,Won,Procsys,Security,India,"Procsys,Security,India",44,6.5,42,53
Training95,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,8.2,42,52
Training96,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64,7.6,51,59
Training97,Won,GTMSys,Others,Other Europe,"GTMSys,Others,Other Europe",69,9.7,39,68
Training98,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,9.3,53,63
Training99,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,9.5,60,46
Training100,Lost,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66,10.3,59,56
Training101,Lost,Finsys,Insurance,UK,"Finsys,Insurance,UK",31,8.1,58,62
Training102,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,9.1,43,53
Training103,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,4.3,49,56
Training104,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,6.3,41,64
Training105,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65,6.2,49,71
Training106,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,7.2,45,48
Training107,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,10.8,56,68
Training108,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,6.9,58,39
Training109,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,8,51,65
Training110,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,8.2,48,62
Training111,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,8.4,35,59
Training112,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,9.5,45,58
Training113,Won,Procsys,Clinical research,UK,"Procsys,Clinical research,UK",70,7.8,47,53
Training114,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,7.3,54,77
Training115,Won,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,11.7,49,70
Training116,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,8.7,52,58
Training117,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,5.1,45,53
Training118,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,8.5,48,58
Training119,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,3.8,42,67
Training120,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,8.2,59,56
Training121,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,8,40,52
Training122,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,7.4,40,56
Training123,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,7.1,57,54
Training124,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,8.3,32,63
Training125,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,8.3,49,60
Training126,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,9,40,65
Training127,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,8,51,70
Training128,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64,10.9,67,65
Training129,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,6.9,47,66
Training130,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,6.6,63,41
Training131,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,5.9,42,68
Training132,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,8.6,49,59
Training133,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,11.2,44,68
Training134,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,12.3,57,51
Training135,Lost,Finsys,Insurance,UK,"Finsys,Insurance,UK",31,8.7,55,45
Training136,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,8.3,47,50
Training137,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,8,43,39
Training138,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,5.5,49,69
Training139,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,9.1,42,49
Training140,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,6.1,69,74
Training141,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,5,70,67
Training142,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,8.6,59,58
Training143,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,6.1,41,70
Training144,Lost,Procsys,Security,India,"Procsys,Security,India",44,4.8,71,52
Training145,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,7.5,44,48
Training146,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,9.5,52,70
Training147,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,8.7,37,52
Training148,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,8.5,48,76
Training149,Lost,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,10.1,56,55
Training150,Lost,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,8.5,78,42
Training151,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,12,31,48
Training152,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,9.1,50,65
Training153,Lost,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,8.3,46,71
Training154,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,11.3,47,70
Training155,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,8.7,28,57
Training156,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,8.8,54,75
Training157,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,7.5,51,65
Training158,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,7.6,57,68
Training159,Won,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64,9,57,45
Training160,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,9,63,40
Training161,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,6.3,55,54
Training162,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,9.8,49,53
Training163,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,8.6,74,64
Training164,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,6,42,61
Training165,Lost,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66,6.5,56,63
Training166,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,12.3,54,64
Training167,Lost,GTMSys,Others,Africa,"GTMSys,Others,Africa",39,5.1,64,51
Training168,Lost,GTMSys,Others,Other Europe,"GTMSys,Others,Other Europe",69,9.2,46,68
Training169,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,6.9,66,77
Training170,Lost,Logissys,Mobility,UK,"Logissys,Mobility,UK",35,8.7,48,51
Training171,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,4,49,57
Training172,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,8.4,50,50
Training173,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,12.8,64,62
Training174,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35,4.7,49,69
Training175,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,6.2,57,63
Training176,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,8,39,59
Training177,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,11.9,62,64
Training178,Lost,GTMSys,Banks,UK,"GTMSys,Banks,UK",61,8.2,70,53
Training179,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,9,50,54
Training180,Lost,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,9.5,65,45
Training181,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64,7.4,45,57
Training182,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,9.1,55,63
Training183,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39,4.4,51,65
Training184,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,8.1,71,63
Training185,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,8.4,50,42
Training186,Won,Procsys,Energy,UK,"Procsys,Energy,UK",34,6.5,38,73
Training187,Lost,Procsys,Security,India,"Procsys,Security,India",44,6.7,46,60
Training188,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,6.5,48,64
Training189,Lost,Procsys,Security,Americas,"Procsys,Security,Americas",68,8.1,55,54
Training190,Won,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64,7.2,52,62
Training191,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,6.7,64,37
Training192,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65,6.5,74,62
Training193,Won,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33,6.3,41,72
Training194,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,8.8,53,56
Training195,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,10.4,55,60
Training196,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,4.2,62,64
Training197,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,6.1,46,43
Training198,Lost,Procsys,Security,India,"Procsys,Security,India",44,6.6,47,50
Training199,Won,Logissys,Govt.,UK,"Logissys,Govt.,UK",36,11.6,49,66
Training200,Won,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,7.7,51,64
Training201,Won,Finsys,Insurance,UK,"Finsys,Insurance,UK",31,5.5,47,57
Training202,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,9,36,54
Training203,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,7.5,46,54
Training204,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,6.4,63,76
Training205,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,7.2,59,59
Training206,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,5.7,63,85
Training207,Won,Procsys,Security,Americas,"Procsys,Security,Americas",68,11.2,51,60
Training208,Won,GTMSys,Banks,UK,"GTMSys,Banks,UK",61,8.9,51,54
Training209,Won,GTMSys,Defense,Other Europe,"GTMSys,Defense,Other Europe",30,7.5,41,58
Training210,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,6.1,53,55
Training211,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,12,50,49
Training212,Won,GTMSys,Banks,UK,"GTMSys,Banks,UK",61,3.7,30,53
Training213,Won,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33,4.1,52,60
Training214,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,7.1,49,43
Training215,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,7.8,59,46
Training216,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,7.4,50,48
Training217,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,6.9,58,62
Training218,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,7.1,51,52
Training219,Won,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,7.8,57,54
Training220,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,9.7,43,62
Training221,Won,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33,4.1,50,79
Training222,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,9,67,53
Training223,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,9.8,66,55
Training224,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,5.3,56,65
Training225,Won,Procsys,Security,India,"Procsys,Security,India",44,6.3,47,44
Training226,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,6.6,49,38
Training227,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,8.6,61,60
Training228,Won,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64,5.5,43,67
Training229,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,10.3,45,65
Training230,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,6.9,47,60
Training231,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,7.5,38,64
Training232,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,8.3,53,75
Training233,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,9.3,46,68
Training234,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,6.5,48,79
Training235,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,10.1,41,70
Training236,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,10.4,41,51
Training237,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39,4.6,58,62
Training238,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,10.2,46,52
Training239,Lost,GTMSys,Others,Africa,"GTMSys,Others,Africa",39,9.5,53,74
Training240,Won,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,4.9,30,49
Training241,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,10.5,51,73
Training242,Won,GTMSys,Banks,UK,"GTMSys,Banks,UK",61,8.8,41,55
Training243,Won,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,7.7,44,59
Training244,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,6,52,69
Training245,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,10.1,50,71
Training246,Lost,Procsys,Mobility,Canada,"Procsys,Mobility,Canada",29,10.2,76,74
Training247,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,9.3,59,66
Training248,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,6.5,47,65
Training249,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,7.5,49,50
Training250,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,6.5,43,61
Training251,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,8.5,50,54
Training252,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,10.7,57,58
Training253,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,6.6,54,60
Training254,Lost,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,11.1,50,57
Training255,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,7.8,59,61
Training256,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,5.3,58,49
Training257,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65,10,56,54
Training258,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35,11.2,49,75
Training259,Won,Finsys,Insurance,UK,"Finsys,Insurance,UK",31,5.8,42,38
Training260,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35,7,55,69
Training261,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,6.3,47,43
Training262,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,9.9,36,50
Training263,Lost,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,5.5,46,56
Training264,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,6.5,56,64
Training265,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,7.3,60,61
Training266,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,6.6,48,57
Training267,Lost,Procsys,Clinical research,UK,"Procsys,Clinical research,UK",70,8.2,40,68
Training268,Lost,Procsys,Capital Markets,UK,"Procsys,Capital Markets,UK",71,10.2,41,70
Training269,Won,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,9.2,40,48
Training270,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,5.5,58,52
Training271,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,4.1,40,62
Training272,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,6.9,59,61
Training273,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,8,37,54
Training274,Lost,GTMSys,Banks,UK,"GTMSys,Banks,UK",61,6.5,70,44
Training275,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32,9.4,41,72
Training276,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,8.3,56,53
Training277,Lost,GTMSys,Other Govt.,Japan,"GTMSys,Other Govt.,Japan",24,6.3,66,59
Training278,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,9.6,49,54
Training279,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,6.6,40,56
Training280,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,8.5,35,67
Training281,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,9.3,34,62
Training282,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,9,46,68
Training283,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,8.3,40,62
Training284,Won,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,7.5,52,54
Training285,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,6.8,50,62
Training286,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,6.7,36,52
Training287,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,7.2,44,47
Training288,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,9.2,51,49
Training289,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,8.5,71,57
Training290,Won,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,6.7,44,69
Training291,Won,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,7.7,40,77
Training292,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39,8.3,34,67
Training293,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,6.6,47,42
Training294,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,13.1,44,68
